A	B	C	b_limite	Volumen	Area
3.900000	0.500000	5.200000	6.500000	96.313800	126.768400
4.000000	0.500000	5.100000	6.480000	85.529310	119.297600
4.000000	0.500000	5.200000	6.560000	93.193440	125.279000
4.000000	0.500000	5.300000	6.640000	101.179600	131.325400
4.100000	0.500000	5.100000	6.542000	82.312510	117.624900
4.100000	0.500000	5.200000	6.620000	89.949590	123.662000
4.100000	0.500000	5.300000	6.700000	97.908030	129.775000
4.200000	0.500000	5.200000	6.684000	86.579090	121.945900
4.200000	0.500000	5.300000	6.762000	94.509950	128.117100
4.200000	0.500000	5.400000	6.840000	102.768400	134.343500
4.300000	0.500000	5.200000	6.746000	83.079360	120.061000
4.300000	0.500000	5.300000	6.824000	90.982130	126.319900
4.300000	0.500000	5.400000	6.902000	99.212140	132.625100
4.300000	0.500000	5.500000	6.980000	107.776000	138.983700
4.400000	0.500000	5.300000	6.888000	87.322270	124.388000
4.400000	0.500000	5.400000	6.964000	95.523610	130.765100
4.400000	0.500000	5.500000	7.042000	104.058600	137.204600
4.400000	0.500000	5.600000	7.120000	112.933400	143.696100
4.500000	0.500000	5.300000	6.952000	83.526640	122.285200
4.500000	0.500000	5.400000	7.028000	91.699740	128.767500
4.500000	0.500000	5.500000	7.106000	100.205600	135.300200
4.500000	0.500000	5.600000	7.184000	109.050900	141.875000
4.500000	0.500000	5.700000	7.262000	118.242400	148.500400
4.600000	0.500000	5.400000	7.092000	87.737380	126.595900
4.600000	0.500000	5.500000	7.170000	96.214100	133.236400
4.600000	0.500000	5.600000	7.246000	105.029800	139.887300
4.600000	0.500000	5.700000	7.324000	114.191100	146.597800
4.700000	0.500000	5.500000	7.234000	92.081120	130.995100
4.700000	0.500000	5.600000	7.310000	100.867200	137.756900
4.700000	0.500000	5.700000	7.386000	109.998400	144.545400
4.700000	0.500000	5.800000	7.464000	119.481300	151.391200
4.800000	0.500000	5.600000	7.374000	96.560050	135.445700
4.800000	0.500000	5.700000	7.450000	105.661000	142.347800
4.800000	0.500000	5.800000	7.528000	115.113100	149.294000
4.800000	0.500000	5.900000	7.604000	124.922800	156.255800
4.900000	0.500000	5.700000	7.516000	101.176100	139.985600
4.900000	0.500000	5.800000	7.592000	110.597300	147.028300
4.900000	0.500000	5.900000	7.668000	120.375800	154.093200
5.000000	0.500000	5.800000	7.656000	105.931200	144.575900
5.000000	0.500000	5.900000	7.732000	115.678200	151.759600
5.000000	0.500000	6.000000	7.810000	125.788800	158.984000
5.100000	0.500000	5.900000	7.798000	110.827100	149.255500
5.100000	0.500000	6.000000	7.874000	120.905600	156.581200
5.200000	0.500000	6.000000	7.938000	115.865800	153.985300
5.200000	0.500000	6.100000	8.014000	126.281200	161.452800
5.300000	0.500000	6.100000	8.080000	121.049100	158.804700
5.400000	0.500000	6.200000	8.220000	126.379400	163.673600
5.500000	0.500000	6.200000	8.286000	120.786000	160.727600
5.600000	0.500000	6.300000	8.428000	126.062000	165.609400
3.800000	0.600000	4.600000	5.966000	82.970860	114.195700
3.900000	0.600000	4.700000	6.106000	87.769830	118.827500
4.000000	0.600000	4.700000	6.170000	83.465140	116.537100
4.000000	0.600000	4.800000	6.248000	92.740980	123.568700
4.100000	0.600000	4.800000	6.312000	88.222640	121.195600
4.100000	0.600000	4.900000	6.388000	97.887120	128.372200
4.200000	0.600000	4.800000	6.378000	83.523130	118.615900
4.200000	0.600000	4.900000	6.452000	93.149910	125.916200
