    A       B       C     b_limite       Volumen           Area Superficial
  -2.000  -1.300   1.300    2.3840               NaN     -6.523444E+00
  -2.000  -1.300   1.400    2.4400               NaN     -8.818938E+00
  -2.000  -1.300   1.500    2.4980               NaN     -1.169963E+01
  -2.000  -1.300   1.600    2.5600               NaN     -1.527950E+01
  -2.000  -1.300   1.700    2.6240               NaN     -1.971060E+01
  -2.000  -1.300   1.800    2.6900               NaN     -2.517789E+01
  -2.000  -1.300   1.900    2.7580               NaN     -3.200450E+01
  -2.000  -1.300   2.000    2.8280      1.741312E+01     -4.127785E+01
  -2.000  -1.300   2.100    2.8980      2.531907E+01     -4.969931E+01
  -2.000  -1.300   2.200    2.9720      3.409244E+01     -5.766436E+01
  -2.000  -1.300   2.300    3.0460      4.377758E+01     -6.578999E+01
  -2.000  -1.300   2.400    3.1240      5.441886E+01     -7.428578E+01
  -2.000  -1.300   2.500    3.2000      6.606023E+01     -8.302779E+01
  -2.000  -1.300   2.600    3.2800      7.874596E+01     -9.220534E+01
